tipo,recurso,version,detalles,licencia,enlaces
software,R,4.2.2,Lenguaje orientado a la computación estadística,"GPLv3, LGPLv3",https://www.r-project.org/
software,Rstudio,2022.12.0,IDE para R,AGPL v3 ,https://posit.co/products/open-source/rstudio/
software,PostgreSQL,14,sistema de gestión de base de datos,PostgreSQL License,https://www.postgresql.org/
biblioteca,shiny,1.7.4,framework para construcción de aplicaciones web,GPLv3,https://shiny.rstudio.com/
assets,Enterprise Dashboard Template,1.0.0,plantilla basada en HTML y diseñada por Appsilon.,LGPL-3.0,https://templates.appsilon.com/
biblioteca,shiny.i18n,0.3.0,utilidad para traducción en distintos idiomas,MIT,https://appsilon.github.io/shiny.i18n/
biblioteca,leaflet,2.1.1,biblioteca para construir mapas dinámicos en R,GPLv3,https://rstudio.github.io/leaflet/
biblioteca,ggplot2,3.4.0,construcción de gráficos en R,MIT,https://ggplot2.tidyverse.org/
biblioteca,echarts4r,0.4.4,Interfaz en R para gráficos interactivos de Apache Echarts,Apache license 2.0,https://echarts4r.john-coene.com/index.html
biblioteca,dygraphs,1.1.1.6,Interfaz para series temporales interactivas en R,MIT,https://rstudio.github.io/dygraphs/
biblioteca,plotly,4.10.1,Interfaz para gráficos dinámicos en R,"Plotly, Inc. (MIT)",https://plotly.com/r/
biblioteca,RPostgres,1.4.1,Interfaz con PostgreSQL,GPLv3,https://github.com/r-dbi/RPostgres
biblioteca,RPostgreSQL,0.7,Interfaz para el SGBD de PostgreSQL,GPLv3,https://cran.r-project.org/web/packages/RPostgreSQL/index.html
biblioteca,sqldf,0.4-11,Soporte para consultas SQL en R,GPLv2,https://www.rdocumentation.org/packages/sqldf/versions/0.4-11
biblioteca,dplyr,1.0.10,gramática y funciones adicionales para el manejo de data frames,MIT,https://dplyr.tidyverse.org/
biblioteca,leafpop,0.1.0,integración de tablas en mapas leaflet,MIT,https://github.com/r-spatial/leafpop
biblioteca,scales,1.1.1,Provee facilidades para escalar gráficos ggplot2,MIT,https://scales.r-lib.org/
biblioteca,shinycssloaders,1.0.0,Animaciones de carga para shiny,MIT,https://github.com/daattali/shinycssloaders
biblioteca,data.table,1.14.6,Estructura de datos optimizada para R,MPLv2,https://cran.r-project.org/web/packages/data.table/vignettes/datatable-intro.html
biblioteca,DT,0.26,Interafaz para tablas tipo data.table,GPLv3,https://rstudio.github.io/DT/
biblioteca,readr,2.1.3 ,Lectura de datos csv,MIT,https://readr.tidyverse.org/
biblioteca,lubridate,1.9.0,Manejo de fechas en R,GPLv2,https://lubridate.tidyverse.org/
biblioteca,shinyjs,2.1.0,Soporte Javascript para Shiny,Dean Attali,https://deanattali.com/shinyjs/
biblioteca,formattable,0.2.1,Estilos y formatos para visualización de tablas,MIT,http://renkun-ken.github.io/formattable/
biblioteca,glue,1.6.2,intérprete de código en cadenas de texto.,MIT,https://glue.tidyverse.org/
biblioteca,xts,0.12.2,series temporales,GPLv2,http://joshuaulrich.github.io/xts/
biblioteca,modules,0.10.0,gestión de módulos en R,Sebastian Warnholz,https://wahani.github.io/modules/
biblioteca,sass,0.4.4,interfaz para LibSass en R,MIT,https://rstudio.github.io/sass/
biblioteca,shinyWidgets,0.7.6,Extensiones de componentes visuales de Shiny,GPLv3,https://shinyapps.dreamrs.fr/shinyWidgets/
biblioteca,shinyfullscreen,1.1.0,Visualizaciones a pantalla completa en aplicaciones Shiny,MIT,https://github.com/etiennebacher/shinyfullscreen
biblioteca,geojsonio,0.10.0,Soporte GeoJson en R,MIT,https://docs.ropensci.org/geojsonio/
biblioteca,showtext,3,Manejo de fuentes no estándares en R,Apache license 2.0,https://github.com/yixuan/showtext
datos,Covid19Casos.csv,CCv4,Datos abiertos del Ministerio de Salud,-,https://www.datos.gob.ar/es/dataset/salud-covid-19-casos-registrados-republica-argentina
datos,datos_nomivac_covid19.csv,CCv4,Datos abiertos del Ministerio de Salud,-,http://datos.salud.gob.ar/dataset/vacunas-contra-covid19-dosis-aplicadas-en-la-republica-argentina
datos,Confirmados_Ambulatorios.csv,CCv4,Datos abiertos del Ministerio de Salud,-,http://datos.salud.gob.ar/dataset/covid-19-casos-registrados-en-la-republica-argentina/archivo/cfbbaf72-d79c-4a22-ac4a-13cb62c1836b
datos,Covid19_Internados_y_Fallecidos.csv,CCv4,Datos abiertos del Ministerio de Salud,-,http://datos.salud.gob.ar/dataset/covid-19-casos-registrados-en-la-republica-argentina/archivo/fac2c863-398d-4d10-934f-31c8bc418ed9
datos,cnphv2022_resultados_provisionales.xlsx,-,INDEC – Censo 2022,-,https://www.censo.gob.ar/index.php/datos_provisionales/
datos,provincias,-,Instituto Geográfico Nacional (IGN),-,https://www.ign.gob.ar/NuestrasActividades/InformacionGeoespacial/CapasSIG
asset,Double Ring-1s-200px.gif,-,"the icon ""Double Ring"" is provided by loading.io",Loading.io Free License,https://loading.io/spinner/double-ring/-disqus-ring-donut-rotate-double
assets,001-prueba-de-covid.png,-,Prueba de covid iconos creados por iconnut – Flaticon,Flaticon,https://www.flaticon.es/iconos-gratis/prueba-de-covid
assets,002-alert.png,-,Alert icons created by Freepik – Flaticon,Flaticon,https://www.flaticon.com/free-icons/alert
assets,003-vaccinated.png,-,Vaccine icons created by toempong – Flaticon,Flaticon,https://www.flaticon.com/free-icons/vaccine
assets,004-check-list,-,Vaccine icons created by toempong – Flaticon,Flaticon,https://www.flaticon.com/free-icons/vaccine
assets,manual-book.png,-,Manual icons created by Andy Horvath – Flaticon,Flaticon,https://www.flaticon.com/free-icons/manual
assets,calendar.png,-,Vaccine icons created by srip – Flaticon,Flaticon,https://www.flaticon.com/free-icons/vaccine
assets,injection.png,-,Vaccine icons created by srip - Flaticon,Flaticon,https://www.flaticon.com/free-icons/vaccine
assets,vaccine.png,-,Vaccine icons created by itim2101 – Flaticon,Flaticon,https://www.flaticon.com/free-icons/vaccine
assets,warning.png,-,Danger icons created by Freepik – Flaticon,Flaticon,https://www.flaticon.com/free-icons/danger
assets,vaccine-record.png,-,Vaccine icons created by berkahicon – Flaticon,Flaticon,https://www.flaticon.com/free-icons/vaccine
assets,spain.png,-,Spain icons created by Freepik – Flaticon,Flaticon,https://www.flaticon.com/free-icon/spain_330557
assets,United-kingdom.png,-,United kingdom icons created by Freepik – Flaticon,Flaticon,https://www.flaticon.com/free-icon/united-kingdom_330425
